"MouseGene","MUSENSG","HumanGene"
"Ovol3","ENSMUSG00000100512","OVOL3"
"Slc6a16","ENSMUSG00000094152","SLC6A16"
"Alg8","ENSMUSG00000035704","ALG8"
"Dnah3","ENSMUSG00000052273","DNAH3"
"Taok2","ENSMUSG00000059981","TAOK2"
"Itgad","ENSMUSG00000070369","ITGAD"
"Plpp4","ENSMUSG00000070366","PLPP4"
"Mrgprg","ENSMUSG00000050276","MRGPRG"
"Brsk1","ENSMUSG00000035390","BRSK1"
"Lmtk3","ENSMUSG00000062044","LMTK3"
"Zbtb2","ENSMUSG00000075327","ZBTB2"
"Cep44","ENSMUSG00000038215","CEP44"
"Ano8","ENSMUSG00000034863","ANO8"
"Unc13a","ENSMUSG00000034799","UNC13A"
"Cnep1r1","ENSMUSG00000036810","CNEP1R1"
"Gse1","ENSMUSG00000031822","GSE1"
"Pabpn1l","ENSMUSG00000069867","PABPN1L"
"Urb2","ENSMUSG00000031976","URB2"
"Adgrg5","ENSMUSG00000061577","ADGRG5"
"Pdp2","ENSMUSG00000048371","PDP2"
"Ces3a","ENSMUSG00000069922","CES3"
"Crtc1","ENSMUSG00000003575","CRTC1"
"AB124611","ENSMUSG00000057191","C19orf38"
"Prdm10","ENSMUSG00000042496","PRDM10"
"Ccdc84","ENSMUSG00000043923","CCDC84"
"Foxr1","ENSMUSG00000074397","FOXR1"
"Odf3l1","ENSMUSG00000045620","ODF3L1"
"Ccdc33","ENSMUSG00000037716","CCDC33"
"Snx22","ENSMUSG00000039452","SNX22"
"Ripply2","ENSMUSG00000047897","RIPPLY2"
"Cep162","ENSMUSG00000056919","CEP162"
"Susd5","ENSMUSG00000086596","SUSD5"
"Slc22a14","ENSMUSG00000070280","SLC22A14"
"Tcaim","ENSMUSG00000046603","TCAIM"
"Zkscan7","ENSMUSG00000063488","ZKSCAN7"
"Fdxacb1","ENSMUSG00000037845","FDXACB1"
"Jade3","ENSMUSG00000037315","JADE3"
"Brwd3","ENSMUSG00000063663","BRWD3"
"Cpxcr1","ENSMUSG00000072995","CPXCR1"
"A830080D01Rik","ENSMUSG00000044150","BCLAF3"
"Cdkl5","ENSMUSG00000031292","CDKL5"
"Taar8b","ENSMUSG00000100186","TAAR8"
"Odf3l2","ENSMUSG00000035963","ODF3L2"
"Poc1b","ENSMUSG00000019952","POC1B"
"Atxn7l3b","ENSMUSG00000074748","ATXN7L3B"
"Best3","ENSMUSG00000020169","BEST3"
"Ankfn1","ENSMUSG00000047773","ANKFN1"
"Cd300ld3","ENSMUSG00000069607","CD300LD"
"Pfn4","ENSMUSG00000020639","PFN4"
"Kcnf1","ENSMUSG00000051726","KCNF1"
"Tmed8","ENSMUSG00000034111","TMED8"
"Zbtb42","ENSMUSG00000037638","ZBTB42"
"Mtx3","ENSMUSG00000021704","MTX3"
"Colq","ENSMUSG00000057606","COLQ"
"Zfp488","ENSMUSG00000044519","ZNF488"
"Neil2","ENSMUSG00000035121","NEIL2"
"Rrm2b","ENSMUSG00000022292","RRM2B"
"Enthd1","ENSMUSG00000050439","ENTHD1"
"Tvp23a","ENSMUSG00000050908","TVP23A"
"Ypel5","ENSMUSG00000039770","YPEL5"
"Kctd16","ENSMUSG00000051401","KCTD16"
"Prdm14","ENSMUSG00000042414","PRDM14"
"Gpr25","ENSMUSG00000052759","GPR25"
"Kif28","ENSMUSG00000087236",NA
"Aim2","ENSMUSG00000037860","AIM2"
"Obp2b","ENSMUSG00000079539","OBP2A"
"Tldc2","ENSMUSG00000074628","TLDC2"
"Ankrd63","ENSMUSG00000078137","ANKRD63"
"Glipr2","ENSMUSG00000028480","GLIPR2"
"Fndc5","ENSMUSG00000001334","FNDC5"
"Slc25a34","ENSMUSG00000040740","SLC25A34"
"Arl9","ENSMUSG00000063820","ARL9"
"Fam47e","ENSMUSG00000057068","FAM47E"
"Ephx4","ENSMUSG00000033805","EPHX4"
"Gm5294","ENSMUSG00000094504",NA
"Gatc","ENSMUSG00000029536","GATC"
"Trim56","ENSMUSG00000043279","TRIM56"
"Noto","ENSMUSG00000068302","NOTO"
"Nova2","ENSMUSG00000030411","NOVA2"
"Wdr88","MGI:MGI:2686275","WDR88"
"Ccdc155","ENSMUSG00000038292","CCDC155"
"Olfr715b","ENSMUSG00000062987","OR2D2"
"Zfp667","ENSMUSG00000054893","ZNF667"
"Irs2","ENSMUSG00000038894","IRS2"
"Adam20","ENSMUSG00000046282","ADAM20"
"Pglyrp4","ENSMUSG00000042250","PGLYRP4"
"H2al1n","ENSMUSG00000078346",NA
"Frmd7","ENSMUSG00000036131","FRMD7"
"Pnma5","ENSMUSG00000050424","PNMA5"
"Tex28","ENSMUSG00000062564","TEX28"
"Kng2","ENSMUSG00000060459","KNG1"
"Nxpe3","ENSMUSG00000075033","NXPE3"
"Lca5l","ENSMUSG00000045275","LCA5L"
"Zfp174","ENSMUSG00000054939","ZNF174"
"Rnf39","ENSMUSG00000036492","RNF39"
"Rnf133","ENSMUSG00000051956","RNF133"
"Thoc6","ENSMUSG00000041319","THOC6"
"Nsfl1c","ENSMUSG00000027455","NSFL1C"
"Eid2","ENSMUSG00000046058","EID2"
"Slitrk3","ENSMUSG00000048304","SLITRK3"
"Hcrtr2","ENSMUSG00000032360","HCRTR2"
"Tmtc1","ENSMUSG00000030306","TMTC1"
"Tas2r114","ENSMUSG00000063478","TAS2R10"
"Tas2r118","ENSMUSG00000043865","TAS2R16"
"Tas2r120","ENSMUSG00000059382","TAS2R46"
"Tas2r121","ENSMUSG00000071150","TAS2R13"
"Tas2r126","ENSMUSG00000048284","TAS2R41"
"Tas2r130","ENSMUSG00000054497","TAS2R7"
"Tas2r131","ENSMUSG00000057699","TAS2R42"
"Ifnk","ENSMUSG00000042993","IFNK"
"Tas2r135","ENSMUSG00000056203","TAS2R60"
"Tas2r138","ENSMUSG00000058250","TAS2R38"
"Tas2r144","ENSMUSG00000051917","TAS2R40"
"Znrf2","ENSMUSG00000058446","ZNRF2"
"Cd300c","ENSMUSG00000058728","CD300C"
"Zhx2","ENSMUSG00000071757","ZHX2"
"Tas2r140","ENSMUSG00000071147","TAS2R14"
"Serpinb3d","ENSMUSG00000058017","SERPINB3"
"Ugt1a5","ENSMUSG00000089943","UGT1A4"
"Ugt1a6b","ENSMUSG00000090145","UGT1A6"
"Ugt1a1","ENSMUSG00000089960","UGT1A1"
"Flrt1","ENSMUSG00000047787","FLRT1"
"Map4k5","ENSMUSG00000034761","MAP4K5"
"Scn4b","ENSMUSG00000046480","SCN4B"
"Flrt2","ENSMUSG00000047414","FLRT2"
"Btbd6","ENSMUSG00000002803","BTBD6"
"BC052040","ENSMUSG00000040282","C15orf41"
"Ccdc87","ENSMUSG00000067872","CCDC87"
"Fam84b","ENSMUSG00000072568","FAM84B"
"Banf2","ENSMUSG00000037307","BANF2"
"Msantd1","ENSMUSG00000051246","MSANTD1"
"Tigd4","ENSMUSG00000047819","TIGD4"
"Ccdc121","ENSMUSG00000050625","CCDC121"
"Opa3","ENSMUSG00000052214","OPA3"
"Agr3","ENSMUSG00000036231","AGR3"
"Clec3a","ENSMUSG00000008874","CLEC3A"
"Gfral","ENSMUSG00000059383","GFRAL"
"Olfr231","ENSMUSG00000046486","OR6K6"
"Mrgprx1","ENSMUSG00000070552","MRGPRX4"
"Olfr372","ENSMUSG00000069998","OR2Z1"
"Olfr403","ENSMUSG00000070378","OR1A1"
"Olfr592","ENSMUSG00000073956","OR52J3"
"Olfr681","ENSMUSG00000095248","OR56A3"
"Olfr750","ENSMUSG00000035932","OR6S1"
"Olfr924","ENSMUSG00000062103","OR8D2"
"Olfr1383","ENSMUSG00000107417","OR2G6"
"Olfr322","ENSMUSG00000063549","OR2W3"
"Ano7","ENSMUSG00000034107","ANO7"
"Ifna14","ENSMUSG00000095896","IFNA4"
"H2afy2","ENSMUSG00000020086","H2AFY2"
"Iqgap3","ENSMUSG00000028068","IQGAP3"
"Olfr151","ENSMUSG00000110526","OR8A1"
"Bex4","ENSMUSG00000047844","BEX4"
"Panx2","ENSMUSG00000058441","PANX2"
"Krt77","ENSMUSG00000067594","KRT77"
"Krt40","ENSMUSG00000059169","KRT40"
"Tmem189","ENSMUSG00000090213","TMEM189"
"Ndufs6","ENSMUSG00000021606","NDUFS6"
"Taf9b","ENSMUSG00000047242","TAF9B"
"Ndufa4l2","ENSMUSG00000040280","NDUFA4L2"
"Ecm2","ENSMUSG00000043631","ECM2"
"BC031181","ENSMUSG00000036299","C18orf32"
"Znrf3","ENSMUSG00000041961","ZNRF3"
"Baz2b","ENSMUSG00000026987","BAZ2B"
"Tmem204","ENSMUSG00000024168","TMEM204"
"Primpol","ENSMUSG00000038225","PRIMPOL"
"Zfp738","ENSMUSG00000048280","ZNF729"
"Otud6a","ENSMUSG00000051582","OTUD6A"
"Spink7","ENSMUSG00000060201","SPINK7"
"BC024978","ENSMUSG00000078786","C19orf54"
"Wdr83os","ENSMUSG00000059355","WDR83OS"
"Tnip3","ENSMUSG00000044162","TNIP3"
"Itprip","ENSMUSG00000044948","ITPRIP"
"Zyg11b","ENSMUSG00000034636","ZYG11B"
"Neurl2","ENSMUSG00000039873","NEURL2"
"Zfp457","ENSMUSG00000055341","ZNF93"
"Akap7","ENSMUSG00000039166","AKAP7"
"Nkain2","ENSMUSG00000069670","NKAIN2"
"Hnrnph3","ENSMUSG00000020069","HNRNPH3"
"Tmprss9","ENSMUSG00000059406","TMPRSS9"
"4930404N11Rik","ENSMUSG00000020234","C19orf71"
"Gnptab","ENSMUSG00000035311","GNPTAB"
"Cpsf6","ENSMUSG00000055531","CPSF6"
"Myo1a","ENSMUSG00000025401","MYO1A"
"Adcy1","ENSMUSG00000020431","ADCY1"
"Fam71b","ENSMUSG00000020401","FAM71B"
"Specc1","ENSMUSG00000042331","SPECC1"
"Ccdc92b","ENSMUSG00000069814","CCDC92B"
"Dnaic2","ENSMUSG00000034706","DNAI2"
"Mfsd2b","ENSMUSG00000037336","MFSD2B"
"Vrtn","ENSMUSG00000071235","VRTN"
"Zscan26","ENSMUSG00000022228","ZSCAN26"
"Prr7","ENSMUSG00000034686","PRR7"
"Lrrc14b","ENSMUSG00000021579","LRRC14B"
"Gprin2","ENSMUSG00000071531","GPRIN2"
"Kbtbd6","ENSMUSG00000075502","KBTBD6"
"Otulin","ENSMUSG00000046034","OTULIN"
"K230010J24Rik","ENSMUSG00000102018",NA
"Smim22","ENSMUSG00000096215","SMIM22"
"Gm5483","ENSMUSG00000079597","CSTA"
"Plcxd2","ENSMUSG00000087141","PLCXD2"
"Pnpla1","ENSMUSG00000043286","PNPLA1"
"Ly6g6f","ENSMUSG00000034923","LY6G6F"
"Spink14","ENSMUSG00000051050","SPINK14"
"Eno1b","ENSMUSG00000059040","ENO1"
"Tmem262","ENSMUSG00000047733","TMEM262"
"Acsl5","ENSMUSG00000024981","ACSL5"
"Khdc1c","ENSMUSG00000041722","KHDC1L"
"Nms","ENSMUSG00000067604","NMS"
"Mettl21c","ENSMUSG00000047343","METTL21C"
"Sgpp2","ENSMUSG00000032908","SGPP2"
"Teddm1b","ENSMUSG00000043282","TEDDM1"
"Creg1","ENSMUSG00000040713","CREG1"
"Ccdc185","ENSMUSG00000043429","CCDC185"
"Jmjd7","ENSMUSG00000098789","JMJD7"
"AA467197","ENSMUSG00000033213","C15orf48"
"Syndig1","ENSMUSG00000074736","SYNDIG1"
"Maml3","ENSMUSG00000061143","MAML3"
"Kprp","ENSMUSG00000059832","KPRP"
"I830077J02Rik","ENSMUSG00000074342","C1orf162"
"Gimd1","ENSMUSG00000091721","GIMD1"
"Ankrd13c","ENSMUSG00000039988","ANKRD13C"
"Akirin2","ENSMUSG00000028291","AKIRIN2"
"Fam205a1","ENSMUSG00000078721","FAM205A"
"Spag8","ENSMUSG00000066196","SPAG8"
"Ncbp1","ENSMUSG00000028330","NCBP1"
"Hdac1","ENSMUSG00000028800","HDAC1"
"Trim63","ENSMUSG00000028834","TRIM63"
"Minos1","ENSMUSG00000050608","MINOS1"
"Zfp992","ENSMUSG00000070605","ZNF616"
"Gm13212","ENSMUSG00000078502","ZNF616"
"Zfp985","ENSMUSG00000065999","ZNF616"
"Chchd2-ps","MGI:MGI:3649942","CHCHD2"
"Rnf207","ENSMUSG00000058498","RNF207"
"Pusl1","ENSMUSG00000051557","PUSL1"
"Nom1","ENSMUSG00000001569","NOM1"
"Grxcr1","ENSMUSG00000068082","GRXCR1"
"Ociad2","ENSMUSG00000029153","OCIAD2"
"Lrrc8b","ENSMUSG00000070639","LRRC8B"
"Pigg","ENSMUSG00000029263","PIGG"
"Mn1","ENSMUSG00000070576","MN1"
"Fam222a","ENSMUSG00000041930","FAM222A"
"Dnaaf5","ENSMUSG00000025857","DNAAF5"
"Tmem178b","ENSMUSG00000057716","TMEM178B"
"Sult2a4","ENSMUSG00000074377","SULT2A1"
"Pnmal2","ENSMUSG00000070802","PNMA8B"
"Ccdc8","ENSMUSG00000041117","CCDC8"
"Eid2b","ENSMUSG00000070705","EID2B"
"Zfp975","ENSMUSG00000069727","ZNF14"
"Slc28a1","ENSMUSG00000025726","SLC28A1"
"Whamm","ENSMUSG00000045795","WHAMM"
"Lrrc32","ENSMUSG00000090958","LRRC32"
"Trim34b","ENSMUSG00000090215","TRIM6-TRIM34"
"Iqck","ENSMUSG00000073856","IQCK"
"Gm5601","MGI:MGI:3647492","PPP1CC"
"Rexo5","ENSMUSG00000030924","REXO5"
"Trim72","ENSMUSG00000042828","TRIM72"
"Sult2a5","ENSMUSG00000078799","SULT2A1"
"Tmem221","ENSMUSG00000043664","TMEM221"
"Nlrc5","ENSMUSG00000074151","NLRC5"
"Zfp560","ENSMUSG00000045519","ZNF560"
"Gm5617","ENSMUSG00000042293","C11orf71"
"Dppa5a","ENSMUSG00000060461","DPPA5"
"Lsmem2","MGI:MGI:3612240","LSMEM2"
"Amt","ENSMUSG00000032607","AMT"
"Ccdc36","ENSMUSG00000047220","CCDC36"
"BC048562","ENSMUSG00000050641","C3orf84"
"Sp140","ENSMUSG00000070031","SP140"
"Slc22a28","ENSMUSG00000063590","SLC22A25"
"Akap14","ENSMUSG00000036551","AKAP14"
"Ccdc160","ENSMUSG00000073207","CCDC160"
"Ldoc1","ENSMUSG00000057615","LDOC1"
"Mageb4","ENSMUSG00000035427","MAGEB2"
"Shisa8","ENSMUSG00000096883","SHISA8"
"Krtap1-3","ENSMUSG00000078131","KRTAP1-1"
"Krtap4-16","ENSMUSG00000046474","KRTAP4-3"
"Krtap9-5","ENSMUSG00000078255","KRTAP9-1"
"Dupd1","ENSMUSG00000063821","DUPD1"
"Glyatl3","ENSMUSG00000091043","GLYATL3"
"Adgrf2","ENSMUSG00000057899","ADGRF2"
"Rufy4","ENSMUSG00000061815","RUFY4"
"Fcrlb","ENSMUSG00000070524","FCRLB"
"Shf","ENSMUSG00000033256","SHF"
"Tnni3k","ENSMUSG00000040086","TNNI3K"
"Cnbd1","MGI:MGI:3650508","CNBD1"
"Ldlrad2","ENSMUSG00000094035","LDLRAD2"
"Aadacl4","ENSMUSG00000070609","AADACL4"
"Slc2a7","ENSMUSG00000062064","SLC2A7"
"Clec2f","MGI:MGI:3522133","CLEC2A"
"Lrp3","ENSMUSG00000001802","LRP3"
"Dnaaf3","ENSMUSG00000055809","DNAAF3"
"Ces2h","ENSMUSG00000091813","CES2"
"Fam92b","ENSMUSG00000042269","FAM92B"
"Gpr62","ENSMUSG00000091735","GPR62"
"Foxr2","ENSMUSG00000071665","FOXR2"
"Gpr31b","ENSMUSG00000071311","GPR31"
"Try10","ENSMUSG00000071521","PRSS1"
"Arhgef15","ENSMUSG00000052921","ARHGEF15"
"Rab44","ENSMUSG00000064147","RAB44"
"Ccin","ENSMUSG00000070999","CCIN"
"D830031N03Rik","MGI:MGI:3045367","KIAA0754"
"Nup85","ENSMUSG00000020739","NUP85"
"Nlrp4e","ENSMUSG00000045693","NLRP4"
"Xrra1","ENSMUSG00000035211","XRRA1"
"Znhit3","ENSMUSG00000020526","ZNHIT3"
"Fbxl7","ENSMUSG00000043556","FBXL7"
"Zfp213","ENSMUSG00000071256","ZNF213"
"Zbtb9","ENSMUSG00000079605","ZBTB9"
"Cbx6","ENSMUSG00000089715","CBX6"
"Armcx5","ENSMUSG00000072969","ARMCX5"
"Apcdd1","ENSMUSG00000071847","APCDD1"
"Taar8c","ENSMUSG00000100004","TAAR8"
"Rnase13","ENSMUSG00000068392","RNASE13"
"Xkr4","ENSMUSG00000051951","XKR4"
"Rnase12","ENSMUSG00000068407","RNASE12"
"Rnase11","ENSMUSG00000059648","RNASE11"
"Acd","ENSMUSG00000038000","ACD"
"Taar9","ENSMUSG00000037424","TAAR9"
"Zdhhc18","ENSMUSG00000037553","ZDHHC18"
"Chrna10","ENSMUSG00000066279","CHRNA10"
"Cfap74","ENSMUSG00000078490","CFAP74"
"Tbc1d32","ENSMUSG00000038122","TBC1D32"
"Krtap10-10","ENSMUSG00000112223","KRTAP10-7"
"1190007I07Rik","ENSMUSG00000063320","C12orf73"
"Glipr1l3","ENSMUSG00000112611","GLIPR1L1"
"Olfr765","ENSMUSG00000056853","OR2AP1"
"Hbq1b","ENSMUSG00000073063","HBQ1"
"Myh13","ENSMUSG00000060180","MYH13"
"Gsg1l2","ENSMUSG00000097886","GSG1L2"
"Arhgap27","ENSMUSG00000034255","ARHGAP27"
"Iqgap2","ENSMUSG00000021676","IQGAP2"
"Bdp1","ENSMUSG00000049658","BDP1"
"Wdfy4","ENSMUSG00000051506","WDFY4"
"Wdr70","ENSMUSG00000039828","WDR70"
"Hnrnpa1l2-ps2","MGI:MGI:3645633","HNRNPA1L2"
"Tdg-ps","MGI:MGI:3645587","TDG"
"Fam186b","ENSMUSG00000078907","FAM186B"
"Olfr288","ENSMUSG00000075427","OR10AD1"
"Kalrn","ENSMUSG00000061751","KALRN"
"Baiap3","ENSMUSG00000047507","BAIAP3"
"Olfr111","ENSMUSG00000090675","OR5V1"
"Arsi","ENSMUSG00000036412","ARSI"
"Gal3st3","ENSMUSG00000047658","GAL3ST3"
"Ms4a15","ENSMUSG00000067571","MS4A15"
"Hpse2","ENSMUSG00000074852","HPSE2"
"Hmcn1","ENSMUSG00000066842","HMCN1"
"Ifi214","ENSMUSG00000070501","IFI16"
"Cep170","ENSMUSG00000057335","CEP170"
"Ccdc141","ENSMUSG00000044033","CCDC141"
"Scrt2","ENSMUSG00000060257","SCRT2"
"Arhgap40","ENSMUSG00000074625","ARHGAP40"
"Tubb1","ENSMUSG00000016255","TUBB1"
"Erich6","ENSMUSG00000070471","ERICH6"
"Ankrd34a","ENSMUSG00000049097","ANKRD34A"
"Fam205a2","ENSMUSG00000094066","FAM205A"
"Ptpn3","ENSMUSG00000038764","PTPN3"
"Fam159a","ENSMUSG00000059816","FAM159A"
"Mterf1a","ENSMUSG00000040429","MTERF1"
"Tmem233","ENSMUSG00000079278","TMEM233"
"Pilrb2","ENSMUSG00000066682","PILRB"
"Cyp2w1","ENSMUSG00000029541","CYP2W1"
"Zar1l","ENSMUSG00000056586","ZAR1L"
"Mansc4","ENSMUSG00000072662","MANSC4"
"Ptprh","ENSMUSG00000035429","PTPRH"
"Zfp607a","ENSMUSG00000020420","ZNF780A"
"Cers3","ENSMUSG00000030510","CERS3"
"Spag11b","ENSMUSG00000059463","SPAG11B"
"Adam39","ENSMUSG00000054033","ADAM20"
"LOC546061","-","SP110"
"Mast3","ENSMUSG00000031833","MAST3"
"Gramd2","ENSMUSG00000074259","GRAMD2A"
"Ccpg1os","ENSMUSG00000086158","C15orf65"
"Wdr72","ENSMUSG00000044976","WDR72"
"Prrg1","ENSMUSG00000047996","PRRG1"
"Tmem235","ENSMUSG00000070330","TMEM235"
"Klhl33","ENSMUSG00000090799","KLHL33"
"Klhdc7b","ENSMUSG00000091680","KLHDC7B"
"Cyp26c1","ENSMUSG00000062432","CYP26C1"
"Calhm1","ENSMUSG00000079258","CALHM1"
"Olfr220","ENSMUSG00000066671","OR6Y1"
"Etv3l","MGI:MGI:3646099","ETV3L"
"Ldlrad1","ENSMUSG00000070877","LDLRAD1"
"Cfap73","ENSMUSG00000094282","CFAP73"
"H2al1k","ENSMUSG00000100448",NA
"H2al1e","ENSMUSG00000095413",NA
"Zc3h12b","ENSMUSG00000035045","ZC3H12B"
"H2al2c","ENSMUSG00000094881",NA
"Parp14","ENSMUSG00000034422","PARP14"
"Btnl2","ENSMUSG00000024340","BTNL2"
"Arid3c","ENSMUSG00000066224","ARID3C"
"Ugt2a2","ENSMUSG00000029268","UGT2A2"
"Cxx1b","ENSMUSG00000067924","RTL8B"
"Gpr17","ENSMUSG00000052229","GPR17"
"Fam196b","ENSMUSG00000069911","FAM196B"
"Tas2r137","ENSMUSG00000052850","TAS2R3"
"Serinc4","ENSMUSG00000046110","SERINC4"
"Zmynd15","ENSMUSG00000040829","ZMYND15"
"Tceal3","ENSMUSG00000044550","TCEAL6"
"Gsk3a","ENSMUSG00000057177","GSK3A"
"Zcchc16","ENSMUSG00000071679","RTL4"
"Fam71a","ENSMUSG00000091017","FAM71A"
"Rfx8","ENSMUSG00000057173","RFX8"
"Tmem253","ENSMUSG00000072571","TMEM253"
"Muc3a","MGI:MGI:3588263","MUC3A"
"Zfp551","ENSMUSG00000034071","ZNF551"
"Tnfsfm13","ENSMUSG00000018752","TNFSF12-TNFSF13"
"Gal3st2c","ENSMUSG00000073608","GAL3ST2"
"Zcchc17","ENSMUSG00000028772","ZCCHC17"
"Klf14","ENSMUSG00000073209","KLF14"
"Siglec15","ENSMUSG00000091055","SIGLEC15"
"Gpr52","MGI:MGI:3643278","GPR52"
"Alkal1","ENSMUSG00000087247","ALKAL1"
"Zfp963","ENSMUSG00000092260","ZNF669"
"Tmem28","ENSMUSG00000071719","FAM155B"
"Gm13889","ENSMUSG00000087006","C11orf96"
"Lcn6","ENSMUSG00000045684","LCN6"
"Gm12695","ENSMUSG00000078639","C1orf87"
"AI429214","ENSMUSG00000074384","C8orf48"
"Nhlrc4","ENSMUSG00000090113","NHLRC4"
"Cldn20","ENSMUSG00000091530","CLDN20"
"Rpl32l","MGI:MGI:3644747","RPL32"
"Nutf2-ps2","MGI:MGI:3704482","NUTF2"
"Hist2h2ab","ENSMUSG00000063689","HIST2H2AB"
"Tmem170b","ENSMUSG00000087370","TMEM170B"
"Triml2","ENSMUSG00000091490","TRIML2"
"Kctd21","ENSMUSG00000044952","KCTD21"
"Ccdc107","ENSMUSG00000028461","CCDC107"
"Mcidas","ENSMUSG00000074651","MCIDAS"
"Arhgef26","ENSMUSG00000036885","ARHGEF26"
"Spocd1","ENSMUSG00000028784","SPOCD1"
"Majin","ENSMUSG00000024786","MAJIN"
"Gm10318","ENSMUSG00000071195","KRTAP10-7"
"Tmem200c","ENSMUSG00000095407","TMEM200C"
"Ccdc17","ENSMUSG00000034035","CCDC17"
"Zfp827","ENSMUSG00000071064","ZNF827"
"Gm12569","MGI:MGI:3650740","LOC102724657"
"Ifi213","ENSMUSG00000073491","IFI16"
"Prr19","ENSMUSG00000058741","PRR19"
"Prr23a1","ENSMUSG00000091080","PRR23A"
"Prr23a2","ENSMUSG00000063058","PRR23A"
"Tmem200b","ENSMUSG00000070720","TMEM200B"
"Dok6","ENSMUSG00000073514","DOK6"
"Rad54b","ENSMUSG00000078773","RAD54B"
"Prlh","ENSMUSG00000090550","PRLH"
"Nme9","MGI:MGI:4359686","NME9"
"Lipt1","ENSMUSG00000037216","LIPT1"
"Gm14137","ENSMUSG00000055926","C15orf62"
"Angptl8","ENSMUSG00000047822","ANGPTL8"
"Clrn2","ENSMUSG00000049530","CLRN2"
"Lekr1","ENSMUSG00000074579","LEKR1"
"Rgs21","ENSMUSG00000098509","RGS21"
"Slc38a6","ENSMUSG00000044712","SLC38A6"
"Gpx4","ENSMUSG00000075706","GPX4"
"Tmem236","ENSMUSG00000061531","TMEM236"
"H3f3c","MGI:MGI:3650546","HIST2H3C"
"Gml","ENSMUSG00000068349","GML"
"Fam43b","ENSMUSG00000078235","FAM43B"
"Ankrd31","ENSMUSG00000109561","ANKRD31"
"Zfp987","ENSMUSG00000066009","ZNF616"
"Wdr93","ENSMUSG00000039099","WDR93"
"Gbp10","ENSMUSG00000105096","GBP6"
"Rgs22","ENSMUSG00000037627","RGS22"
"Gm6710","ENSMUSG00000078887","ZNF442"
"Klk13","ENSMUSG00000054046","KLK13"
"Zfp971","ENSMUSG00000074519","ZNF442"
"Gm11992","ENSMUSG00000040978","C7orf57"
"Pramef20","ENSMUSG00000073721","PRAMEF20"
"Zfp800","ENSMUSG00000039841","ZNF800"
"Syndig1l","ENSMUSG00000071234","SYNDIG1L"
"Fam196a","ENSMUSG00000073805","FAM196A"
"Lrrc74a","ENSMUSG00000059114","LRRC74A"
"Ptchd4","ENSMUSG00000042256","PTCHD4"
"Dnah7a","ENSMUSG00000096141","DNAH7"
"Fbxo39","ENSMUSG00000070388","FBXO39"
"Zfp970","ENSMUSG00000078866","ZNF442"
"Phf11c","ENSMUSG00000091144","PHF11"
"Gm10324","ENSMUSG00000095909","ZNF700"
"Hs3st4","ENSMUSG00000078591","HS3ST4"
"Gm11437","ENSMUSG00000051452","C17orf78"
"Otogl","ENSMUSG00000091455","OTOGL"
"Cldn34-ps","MGI:MGI:3645962","CLDN34"
"Fam124a","ENSMUSG00000035184","FAM124A"
"Defb23","ENSMUSG00000074681","DEFB129"
"Ctxn3","ENSMUSG00000069372","CTXN3"
"Sult2a3","ENSMUSG00000074375","SULT2A1"
"Sult2a6","ENSMUSG00000070810","SULT2A1"
"Heatr9","ENSMUSG00000018925","HEATR9"
"Dact3","ENSMUSG00000078794","DACT3"
"Mroh8","ENSMUSG00000074627","MROH8"
"Gm14781","ENSMUSG00000064129","MAGEB5"
"Wfdc9","ENSMUSG00000074594","WFDC9"
"Krtap1-4","ENSMUSG00000075567","KRTAP1-5"
"Cd101","ENSMUSG00000086564","CD101"
"Gm7030","ENSMUSG00000092243","HLA-F"
"Fam90a1b","MGI:MGI:1921682","FAM90A1"
"Cyp4f40","ENSMUSG00000090700","CYP4F11"
"Catspere1","MGI:MGI:3647531","CATSPERE"
"Gm7073","ENSMUSG00000079583","CXorf66"
"Fer1l6","ENSMUSG00000037106","FER1L6"
"March10","ENSMUSG00000078627","MARCH10"
"Erich4","ENSMUSG00000074261","ERICH4"
"Rergl","ENSMUSG00000092164","RERGL"
"Rbm46","ENSMUSG00000033882","RBM46"
"Tmem267","ENSMUSG00000074634","TMEM267"
"Ak9","ENSMUSG00000091415","AK9"
"Olfr287","ENSMUSG00000090129","OR10AD1"
"Gm7137","ENSMUSG00000095721","KRTAP10-7"
"Gbp11","ENSMUSG00000092021","GBP6"
"Susd1","ENSMUSG00000038578","SUSD1"
"Gm7145","MGI:MGI:3648947","ZNF658"
"Itih5l-ps","MGI:MGI:2685232","ITIH6"
"CK137956","ENSMUSG00000028813","C1orf94"
"Usp51","ENSMUSG00000067215","USP51"
"Naaladl2","ENSMUSG00000102758","NAALADL2"
"Gm16462","MGI:MGI:3642993",NA
"Gm7173","ENSMUSG00000073077",NA
"Cntnap5a","ENSMUSG00000070695","CNTNAP5"
"Trim71","ENSMUSG00000079259","TRIM71"
"Tex13c1","ENSMUSG00000078320","TEX13C"
"Sycp2l","MGI:MGI:2685114","SYCP2L"
"Nlrp1b","ENSMUSG00000070390","NLRP1"
"Aadacl2","ENSMUSG00000091376","AADACL2"
"Sptbn5","MGI:MGI:2685200","SPTBN5"
"Tgm7","ENSMUSG00000079103","TGM7"
"Nrbf2","ENSMUSG00000075000","NRBF2"
"Tomm40l","ENSMUSG00000005674","TOMM40L"
"Tmem243","ENSMUSG00000079659","TMEM243"
"Defb18","ENSMUSG00000073735","DEFB113"
